;ID;-50_MAE;-50_MSE;-50_NTS;-16_MAE;-16_MSE;-16_NTS;0_MAE;0_MSE;0_NTS;16_MAE;16_MSE;16_NTS;50_MAE;50_MSE;50_NTS
0;1;0.06402287917716219;0.015410257627359444;50.35681486033863;0.05370854206576411;0.012537691206795607;68.44115412076638;0.06163900453161135;0.014521524044696284;62.76677936915643;0.053427956822905576;0.012206185062381452;80.1191198102486;0.06115349291656991;0.01339305151715598;85.98734616414568
1;2;0.062153757042175566;0.013499988379598276;61.972826048348956;0.06159181066144035;0.012737793917109698;46.80396327876353;0.06156947980424808;0.01149686346926553;104.84095497779262;0.049108630536647074;0.007712874397836009;43.524316516571666;0.04919711660915412;0.007901652526334438;95.90081905514089
2;3;0.0939050283232913;0.029586976736864515;60.6755251290873;0.06661163811358412;0.017876869250630447;186.26225387282838;0.08162844375472507;0.023143589102869778;61.53257883628712;0.07715364823700609;0.021892961438602712;35.228554812248476;0.07454438024364832;0.01950635645027054;42.36283103123801
3;4;0.06384165736931385;0.013425953500252719;126.61785027745448;0.04459900130741154;0.007030673750323587;58.82813250481026;0.03493836665738402;0.0048491911059359485;100.9361885309049;0.043323848447228995;0.006045625574797618;106.25915482589335;0.052494302630550514;0.011323614161072207;58.4328491434715
4;5;0.12383576048268805;0.044396979837698115;177.7596942260753;0.13827739389739044;0.05417201153646743;333.4159438255224;0.14277385419513886;0.05706552145797805;1410.664599338414;0.1260916728976421;0.04743546233087445;55.668565209117034;0.11193273762371285;0.03706528923448975;21.971960758051253
5;6;0.06469744902508394;0.01228912387702879;84.87389519144527;0.07198753685003076;0.01559268535762766;36.728187712782;0.07091830131570713;0.015177260432927735;49.35767230429042;0.07750588527106686;0.017944363036967222;34.15378920626855;0.07271118779596665;0.015346907069938829;105.69743055594883
6;7;0.13318586467117327;0.05639955871891312;162.5767016779735;0.09606817828293453;0.0358413611444692;259.6542525150943;0.1104188265781513;0.041286217572181406;172.06146150020575;0.10447876565579356;0.039368039728729036;153.64207075269;0.08863448041676994;0.027386875381431364;104.2385974732172
7;8;0.14631042809020295;0.06178384986455143;776.5831893875923;0.1770661333736678;0.08847959464331308;76.80644098948146;0.13656587701277859;0.0545490412227711;37.047641930073006;0.1388252865319005;0.06260110302862987;937.0631440780289;0.12685206451168154;0.0475026445072128;26.37444134304455
8;9;0.057551432709585085;0.010294519959654332;30.72481720712235;0.05034465771818231;0.008340045982783591;74.34189596860813;0.04060198992796975;0.005229361734929184;106.28264264799562;0.05011379708967344;0.008113028568121293;158.4779916718756;0.08131946358617363;0.024264180400622583;110.47567722527455
9;10;0.12056976742665708;0.04036575046463833;120.24311056722318;0.11635636728701818;0.03646142339469975;112.16886857755438;0.13636139950467668;0.05279445289121408;85.19369332928508;0.12874996022957033;0.04677367252319121;99.58022292427114;0.13415139571243473;0.05206848543516837;55.898323950737364
10;11;0.04735815500574958;0.007048472610959418;37.93581189444599;0.05470632221671723;0.00857093198415643;59.86803621620254;0.035963693606504525;0.004099380315756733;22.41048245127376;0.049232142198869615;0.008417109552922025;52.90721437125356;0.045211995577982625;0.006101376013096219;58.60299155817908
11;12;0.09148849947108591;0.02552269802410438;63.39201864562991;0.09244218487464509;0.02470273963699532;14.141838881125436;0.09986916154689605;0.029340287244284363;19.9836228279797;0.08786587617589138;0.024325982441229743;15.101098689852295;0.1027397006615287;0.03290341602118626;34.30736266608704
12;13;0.12127902344054695;0.040257449286879556;88.10136020928039;0.10267376816039199;0.031632963320551925;82.65379762179398;0.1323300153808638;0.04847454911430388;28.788826119220378;0.11223605432209507;0.034716593724191315;48.817761365340054;0.1317607662078253;0.049367348389021216;24.66001472180788
13;14;0.07238742591050973;0.016147525993915116;374.0817268819265;0.08260443307167668;0.021275749920198966;345.83805989943977;0.08767814953765177;0.023056123082261487;319.34974961270285;0.0718122188195496;0.01745370386003801;96.29789103954411;0.07925638529041829;0.020538771714701975;277.0495154313466
14;15;0.051840147444268035;0.009157336063293798;105.45285182082081;0.06695570919472815;0.015622957488271885;66.238266094786;0.06037569059767196;0.011267944437211658;89.01734827012545;0.06534398231261143;0.013514732436012618;52.05093177989388;0.06244553046056019;0.012780675800018742;80.89235034642856
15;16;0.05449437453220712;0.008644102606508266;45.814971455718045;0.058763256095583555;0.01006645770134462;55.50134382750639;0.0591950180301812;0.009806163108359096;49.35686223326551;0.047475880956453796;0.006309113889885274;49.10203540054057;0.047097284509040466;0.0065289617280446235;44.28319422690561
16;17;0.04896431130067838;0.008295087874978043;346.14274168227644;0.04226183642304778;0.007322968155089372;152.14601537858167;0.061613722756674885;0.012677486066021416;157.3120938516346;0.07848500212468056;0.019861734539715754;108.25566491931205;0.07210775630141257;0.01667393949472969;51.17440576189615
17;18;0.11902368933105993;0.0564780948506818;34.81864553975312;0.11176304888260942;0.051503025402022985;50.33736859032283;0.1087589364277278;0.04469981057395663;48.172527116060834;0.09278682045717598;0.03511643292405534;134.29660513219207;0.11540750423652185;0.04909032592174318;67.89248581455227
18;19;0.04344044006937281;0.005604521699789914;51.79378156020235;0.04239975600202819;0.0057513183930800625;82.65053584183602;0.045699167619419855;0.0059627212232058625;72.20237132127006;0.05044859181328338;0.006870620188656317;44.72899392986554;0.05098162826438443;0.006733288811851717;24.980382497469098
19;20;0.0475652073607443;0.006368049589541082;116.05314735415105;0.04862121613622639;0.006722463410797696;174.7167949058738;0.05414777461430934;0.008341548402381167;163.46886126016992;0.05445903166756909;0.008474954094700287;142.5274108291074;0.04785552669405175;0.0068724252542897045;56.31635339669718
20;21;0.15244074988967415;0.07082843951541348;67.84980650465498;0.15375090158677393;0.07480021187581606;33.91593229477804;0.11484847371850548;0.0513894462430746;87.96203639208943;0.13647333609184306;0.06063131641390662;55.174350505573294;0.1678585635815898;0.08469953520744723;82.98903098002735
21;22;0.07973164000483367;0.0228172151305853;131.7582305948085;0.054010816731419005;0.010311620323841803;34.887053627746035;0.075118209960907;0.02323514418952559;79.48780805199446;0.06038580448516413;0.01156862638046886;97.73442704601317;0.07461833817795081;0.01640640889804508;113.62588449163724
22;23;0.148809223023177;0.07174709789854801;329.877126051388;0.1571814051492054;0.08252843888449801;336.45144442553897;0.09251173268078446;0.038055149035692015;67.78151826599358;0.1504065676908304;0.0716242660762276;136.66504261463825;0.11838682251702702;0.05176882165704427;113.31200956138738
23;24;0.04276323945324764;0.005941879038513731;48.39365154675587;0.06676714804709234;0.012664342040039708;38.02126038649401;0.06143653773937901;0.010531171515511282;22.33030092512781;0.06530614574256458;0.012230508476768162;33.61527768577961;0.0590290275465363;0.009712644110078685;19.666425413779308
24;25;0.09569606115546343;0.032672685928032574;51.723899338827444;0.121879519622701;0.052661687171718825;159.77074340672291;0.1477544722830886;0.07155383883933694;75.90315005250751;0.08150468165147998;0.031450265331953685;113.51941378423615;0.1164879038917944;0.0493736790468467;25.619744859094
25;26;0.03482505934814657;0.003968155036178748;83.88218055070102;0.0412687450888547;0.005590296780145625;27.44758683397656;0.04929588668800336;0.00907178250879516;39.22775565670595;0.03341652839149038;0.004081312963559591;23.019214029211362;0.02951590958102093;0.0026188555141734154;27.716128398037295
26;27;0.02586697929527396;0.0019121895922713766;93.10324449574676;0.024392185065838977;0.0017525617792104673;63.20744486974017;0.032883436138138045;0.003279056294499787;40.113837964370646;0.03086744955393462;0.0028346663571296757;110.11918227107253;0.031198533814002137;0.0029141295644455885;102.83921175538859
27;28;0.04253419534244891;0.008117706241550723;47.413395298830935;0.049317505202657486;0.00858747608502183;45.41295083039702;0.042976939634128866;0.007101978742574426;25.442183160670506;0.06172642036916293;0.013653339071580237;37.967132283187134;0.0675221496216578;0.016231415527831396;91.5530888081429
28;29;0.028451358065716477;0.0022570775170506732;22.402043447262777;0.03481349868756331;0.0036444299575790658;12.59456704874138;0.030609987256026098;0.0025826305628892754;46.86300800168822;0.033113432316300415;0.0032759371128468296;14.423992382843906;0.030185979431968935;0.0029656143148904693;10.14961689749082
29;30;0.12082078655934458;0.050814823090498416;19.28069751669564;0.10978505650255613;0.04337639411248789;60.83177414254734;0.10007038729155703;0.0342091612504229;51.08163621029577;0.11032592767421397;0.040525982021932874;39.599865404014835;0.09166058242982926;0.02929482673157589;16.33778855639997
30;31;0.05946354487461908;0.013620576752752443;37.9693126529727;0.10062449070513081;0.028991107701957314;230.43053895744592;0.10184407133563389;0.030563077708447343;56.29221719313172;0.06688446406860185;0.017749450552097687;22.816651347391666;0.07353812061851338;0.01924215396274933;48.967692396511495
