;ID;Latency;Throughput
0;10;-50.0;138.45245405261056
1;10;0.0;76.91598716030524
2;10;-16.67;78.45338923764542
3;10;50.0;51.95173050908614
4;10;16.67;62.96128347191963
5;11;-50.0;25.23872350339401
6;11;0.0;22.361925737248416
7;11;-16.67;26.907450151001246
8;11;50.0;17.239637457670888
9;11;16.67;21.35475164056292
10;12;-50.0;55.00560941548981
11;12;0.0;49.04050652204011
12;12;-16.67;68.10089543017662
13;12;50.0;37.45596281105538
14;12;16.67;35.10071755845812
15;13;-50.0;103.95300790704364
16;13;0.0;62.56007299061104
17;13;-16.67;76.85061469550561
18;13;50.0;41.6611953651472
19;13;16.67;45.142912901502505
20;14;-50.0;54.65280667702206
21;14;0.0;35.28098105058747
22;14;-16.67;39.89493249972001
23;14;50.0;30.307355460809184
24;14;16.67;31.77080317642863
25;15;-50.0;50.716737874376065
26;15;0.0;40.52286881148423
27;15;-16.67;52.637167873314574
28;15;50.0;32.950849090718634
29;15;16.67;39.116704449800366
30;16;-50.0;39.928760942296904
31;16;0.0;30.08245730849504
32;16;-16.67;28.58532792288125
33;16;50.0;23.44079371037864
34;16;16.67;24.94559412202159
35;17;-50.0;34.25492510975118
36;17;0.0;28.593947654479866
37;17;-16.67;25.2846000722389
38;17;50.0;26.803090355344406
39;17;16.67;32.019661202189575
40;18;-50.0;146.03652949831533
41;18;0.0;99.6035465095944
42;18;-16.67;135.09175583694795
43;18;50.0;121.6884570846555
44;18;16.67;111.67232223531971
45;19;-50.0;29.691082223508786
46;19;0.0;29.953348347465646
47;19;-16.67;34.17514742958169
48;19;50.0;25.823579126485374
49;19;16.67;29.340200696724185
50;1;-50.0;182.32220585028332
51;1;0.0;155.2025158314392
52;1;-16.67;163.35095574307994
53;1;50.0;138.29692276174885
54;1;16.67;154.6873283112113
55;2;-50.0;52.40396668603773
56;2;0.0;36.68537070096464
57;2;-16.67;47.11680165971143
58;2;50.0;26.39343473093274
59;2;16.67;30.75398775994598
60;20;-50.0;25.366533658719575
61;20;0.0;25.17794459443311
62;20;-16.67;17.99056013615055
63;20;50.0;17.75766570443655
64;20;16.67;23.193613771103518
65;21;-50.0;155.2726067099348
66;21;0.0;102.0528289484175
67;21;-16.67;110.80969728685778
68;21;50.0;91.67223823059184
69;21;16.67;107.29327688171956
70;22;-50.0;62.64343665711109
71;22;0.0;49.916239796030176
72;22;-16.67;41.6339295418971
73;22;50.0;36.676585687840216
74;22;16.67;51.056496702272746
75;23;-50.0;133.5125497303399
76;23;0.0;75.65954804810328
77;23;-16.67;108.96140796631136
78;23;50.0;58.472412761725636
79;23;16.67;75.62801240568973
80;24;-50.0;27.83896119157492
81;24;0.0;27.674496139767104
82;24;-16.67;31.533596565805635
83;24;50.0;30.81437373392827
84;24;16.67;31.920559686341488
85;25;-50.0;106.20467297268297
86;25;0.0;107.56736464843219
87;25;-16.67;102.44317506629588
88;25;50.0;76.11166851473607
89;25;16.67;63.95351082983719
90;26;-50.0;16.80258285547081
91;26;0.0;29.12278918672588
92;26;-16.67;19.03184917859649
93;26;50.0;10.074194959796804
94;26;16.67;16.420171700443078
95;27;-50.0;11.307058020271317
96;27;0.0;10.03389166905022
97;27;-16.67;8.182714103750584
98;27;50.0;12.747257622854281
99;27;16.67;11.604575887001218
100;28;-50.0;36.94960263248726
101;28;0.0;24.224639365212948
102;28;-16.67;29.71527594074776
103;28;50.0;33.13919804786127
104;28;16.67;42.065089437448414
105;29;-50.0;7.114731294101517
106;29;0.0;8.5561848587402
107;29;-16.67;13.623936059794381
108;29;50.0;10.299728127681446
109;29;16.67;7.72140069940182
110;30;-50.0;116.19829679303348
111;30;0.0;42.95481332019922
112;30;-16.67;91.93157330049308
113;30;50.0;32.80634909922186
114;30;16.67;53.37224243027615
115;31;-50.0;85.3167430569748
116;31;0.0;62.90613319556231
117;31;-16.67;54.84879410911233
118;31;50.0;59.346527873427874
119;31;16.67;53.99475953868986
120;3;-50.0;50.46722231998107
121;3;0.0;33.840917967641936
122;3;-16.67;32.9570246593179
123;3;50.0;23.571090982842446
124;3;16.67;30.441253669955636
125;4;-50.0;44.074537440454705
126;4;0.0;26.977695948712928
127;4;-16.67;24.540908406200813
128;4;50.0;23.47178693088006
129;4;16.67;25.662168131349308
130;5;-50.0;140.538583605709
131;5;0.0;64.47393407192338
132;5;-16.67;65.51410329883818
133;5;50.0;35.789924586333306
134;5;16.67;46.913769788119055
135;6;-50.0;42.904271203561024
136;6;0.0;42.26511588130607
137;6;-16.67;39.91958632319426
138;6;50.0;32.097343560759136
139;6;16.67;39.962096115484684
140;7;-50.0;153.49068537434005
141;7;0.0;67.99940820395906
142;7;-16.67;82.32208724760731
143;7;50.0;47.25416806994805
144;7;16.67;66.27233973170077
145;8;-50.0;178.23843831765075
146;8;0.0;73.14673835091737
147;8;-16.67;122.10912096436975
148;8;50.0;52.44976104534443
149;8;16.67;58.992752439155225
150;9;-50.0;45.34643932520867
151;9;0.0;22.56286257305017
152;9;-16.67;26.125032535266833
153;9;50.0;36.905338981275726
154;9;16.67;23.502247218364033
